2026-03-16T15:56:02.908219Z | payment-service   | INFO  | req-d30e-8c51-8794  | Payment processed successfully                | latency=49ms
2026-03-16T15:56:27.092512Z | payment-service   | ERROR | req-8cf6-eb4d-e823  | Payment declined                              | latency=1488ms
2026-03-16T15:56:27.304465Z | payment-service   | INFO  | req-db7d-6b13-1194  | Payment initiated                             | latency=92ms
2026-03-16T15:56:27.503573Z | payment-service   | INFO  | req-1d43-a262-2445  | Payment initiated                             | latency=63ms
2026-03-16T15:56:27.698593Z | payment-service   | INFO  | req-992c-f2f4-6561  | Payment processed successfully                | latency=92ms
2026-03-16T15:56:27.870353Z | payment-service   | INFO  | req-515c-4da0-6d1e  | Payment confirmation sent                     | latency=33ms
2026-03-16T15:56:28.103062Z | payment-service   | INFO  | req-38db-148e-94f5  | Payment initiated                             | latency=37ms
2026-03-16T15:56:28.287392Z | payment-service   | INFO  | req-1b54-1219-d598  | Payment initiated                             | latency=27ms
2026-03-16T15:56:28.496662Z | payment-service   | INFO  | req-c74c-76ce-2bc4  | Payment confirmation sent                     | latency=13ms
2026-03-16T15:56:28.705721Z | payment-service   | INFO  | req-2bdd-20bb-8898  | Payment processed successfully                | latency=31ms
2026-03-16T15:56:28.89904Z | payment-service   | INFO  | req-6cbe-cdc7-7c9b  | Payment initiated                             | latency=39ms
2026-03-16T15:56:29.088756Z | payment-service   | INFO  | req-df7f-0b3f-c63e  | Payment initiated                             | latency=71ms
2026-03-16T15:56:29.291812Z | payment-service   | INFO  | req-7aaf-f895-17bd  | Payment initiated                             | latency=88ms
2026-03-16T15:56:29.486315Z | payment-service   | ERROR | req-818e-3417-4037  | context deadline exceeded                     | latency=447ms
2026-03-16T15:56:29.717398Z | payment-service   | WARN  | req-9468-ab3c-0482  | Payment gateway slow response                 | latency=276ms
2026-03-16T15:56:29.896594Z | payment-service   | INFO  | req-7049-f8b5-0cfd  | Payment processed successfully                | latency=57ms
2026-03-16T15:56:30.079947Z | payment-service   | INFO  | req-ad07-74f9-3355  | Payment confirmation sent                     | latency=39ms
2026-03-16T15:56:30.301589Z | payment-service   | INFO  | req-964a-bb2f-1aac  | Payment initiated                             | latency=10ms
2026-03-16T15:56:30.489418Z | payment-service   | INFO  | req-6250-d041-1abf  | Payment confirmation sent                     | latency=25ms
2026-03-16T15:56:30.668878Z | payment-service   | WARN  | req-1a0f-0ab6-8954  | Payment gateway slow response                 | latency=410ms
2026-03-16T15:56:30.883932Z | payment-service   | INFO  | req-ef3c-2052-c3e5  | Payment confirmation sent                     | latency=101ms
2026-03-16T15:56:31.086115Z | payment-service   | ERROR | req-bed9-e4d7-48b3  | Payment declined                              | latency=815ms
2026-03-16T15:56:31.287218Z | payment-service   | WARN  | req-5213-ffa0-c9be  | Payment gateway slow response                 | latency=196ms
2026-03-16T15:56:31.474618Z | payment-service   | ERROR | req-19e3-f353-179e  | Payment blocked: suspected fraud              | latency=1316ms
2026-03-16T15:56:31.710803Z | payment-service   | INFO  | req-9058-f029-d0c7  | Payment processed successfully                | latency=66ms
2026-03-16T15:56:31.897223Z | payment-service   | INFO  | req-05e7-c683-530a  | Payment processed successfully                | latency=62ms
2026-03-16T15:56:32.103658Z | payment-service   | INFO  | req-ead0-2c39-4e5d  | Payment processed successfully                | latency=71ms
2026-03-16T15:56:32.293662Z | payment-service   | WARN  | req-1887-f2a5-aad6  | Retry attempt for payment                     | latency=91ms
2026-03-16T15:56:32.501134Z | payment-service   | ERROR | req-8599-c50d-89fd  | Payment gateway connection refused            | latency=200ms
