2026-03-16T15:56:02.8485Z | api-gateway       | INFO  | req-d30e-8c51-8794  | Received incoming request                     | latency=90ms
2026-03-16T15:56:14.248205Z | api-gateway       | INFO  | req-8466-b2a5-48c3  | Request forwarded successfully                | latency=16ms
2026-03-16T15:56:14.448187Z | api-gateway       | INFO  | req-62dd-78b9-ae9f  | Routing request to downstream                 | latency=33ms
2026-03-16T15:56:14.648156Z | api-gateway       | WARN  | req-54c4-2a7a-7f33  | Slow upstream response                        | latency=43ms
2026-03-16T15:56:14.848152Z | api-gateway       | INFO  | req-5bf4-c443-6b4a  | Received incoming request                     | latency=85ms
2026-03-16T15:56:15.048151Z | api-gateway       | ERROR | req-ab24-bd92-980e  | Gateway timeout                               | latency=922ms
2026-03-16T15:56:15.24815Z | api-gateway       | INFO  | req-2253-c528-22ae  | Request forwarded successfully                | latency=82ms
2026-03-16T15:56:15.448182Z | api-gateway       | ERROR | req-95e6-602e-e559  | Gateway timeout                               | latency=907ms
2026-03-16T15:56:15.647801Z | api-gateway       | INFO  | req-d772-6ee8-1da1  | Received incoming request                     | latency=71ms
2026-03-16T15:56:15.848162Z | api-gateway       | INFO  | req-6ac5-0fc0-7f10  | Received incoming request                     | latency=98ms
2026-03-16T15:56:16.048119Z | api-gateway       | INFO  | req-87c4-5d0f-b42c  | Routing request to downstream                 | latency=21ms
2026-03-16T15:56:16.248128Z | api-gateway       | INFO  | req-61dd-382a-c02d  | Received incoming request                     | latency=53ms
2026-03-16T15:56:16.448104Z | api-gateway       | ERROR | req-ac6d-c156-daff  | Gateway timeout                               | latency=769ms
2026-03-16T15:56:16.648113Z | api-gateway       | INFO  | req-bb63-1918-4bf2  | Routing request to downstream                 | latency=65ms
2026-03-16T15:56:16.848097Z | api-gateway       | ERROR | req-583d-dc2b-668f  | Connection refused from downstream            | latency=672ms
2026-03-16T15:56:17.048108Z | api-gateway       | INFO  | req-5397-f878-ace2  | Request forwarded successfully                | latency=75ms
2026-03-16T15:56:17.247627Z | api-gateway       | WARN  | req-2ec1-29ef-52df  | Slow upstream response                        | latency=485ms
2026-03-16T15:56:17.448214Z | api-gateway       | INFO  | req-ccb3-6807-b3df  | Received incoming request                     | latency=45ms
2026-03-16T15:56:17.64814Z | api-gateway       | INFO  | req-bc9a-e10e-1243  | Received incoming request                     | latency=31ms
2026-03-16T15:56:17.848154Z | api-gateway       | ERROR | req-76f4-0bdb-e871  | Gateway timeout                               | latency=798ms
2026-03-16T15:56:18.048145Z | api-gateway       | INFO  | req-c6c2-6c87-fc06  | Request forwarded successfully                | latency=35ms
2026-03-16T15:56:18.248116Z | api-gateway       | ERROR | req-052a-84d5-acb1  | Gateway timeout                               | latency=1156ms
2026-03-16T15:56:18.448137Z | api-gateway       | INFO  | req-1f03-aecd-47e9  | Received incoming request                     | latency=76ms
2026-03-16T15:56:18.648167Z | api-gateway       | ERROR | req-7bca-5898-2894  | Connection refused from downstream            | latency=876ms
2026-03-16T15:56:18.848094Z | api-gateway       | WARN  | req-8681-3290-7243  | Slow upstream response                        | latency=407ms
2026-03-16T15:56:19.048108Z | api-gateway       | INFO  | req-3cce-739b-97bc  | Request forwarded successfully                | latency=19ms
2026-03-16T15:56:19.248077Z | api-gateway       | INFO  | req-9d73-3c3b-60cd  | Received incoming request                     | latency=86ms
2026-03-16T15:56:19.448092Z | api-gateway       | INFO  | req-7280-60de-eb95  | Received incoming request                     | latency=90ms
2026-03-16T15:56:19.648076Z | api-gateway       | INFO  | req-49e6-937b-cc54  | Request forwarded successfully                | latency=71ms
2026-03-16T15:56:19.848115Z | api-gateway       | INFO  | req-e8cc-cc7b-6887  | Request forwarded successfully                | latency=96ms
2026-03-16T15:56:20.048078Z | api-gateway       | ERROR | req-5705-dded-b964  | Gateway timeout                               | latency=5000ms
2026-03-16T15:56:20.248057Z | api-gateway       | INFO  | req-6622-9c50-e1df  | Received incoming request                     | latency=31ms
2026-03-16T15:56:20.448076Z | api-gateway       | INFO  | req-324b-ba06-846c  | Received incoming request                     | latency=80ms
2026-03-16T15:56:20.648038Z | api-gateway       | WARN  | req-508f-6c08-4f70  | High request rate detected                    | latency=384ms
2026-03-16T15:56:20.84806Z | api-gateway       | ERROR | req-5867-f1f0-2ca8  | Gateway timeout                               | latency=1163ms
2026-03-16T15:56:21.048061Z | api-gateway       | INFO  | req-1121-d006-387e  | Routing request to downstream                 | latency=34ms
2026-03-16T15:56:21.247504Z | api-gateway       | WARN  | req-23bc-46d4-9f62  | Slow upstream response                        | latency=367ms
2026-03-16T15:56:21.448066Z | api-gateway       | INFO  | req-0348-35b0-b898  | Request forwarded successfully                | latency=33ms
2026-03-16T15:56:21.648028Z | api-gateway       | INFO  | req-6ca0-9352-751d  | Request forwarded successfully                | latency=100ms
2026-03-16T15:56:21.848005Z | api-gateway       | INFO  | req-ce4b-0ab4-26c1  | Routing request to downstream                 | latency=21ms
2026-03-16T15:56:22.047855Z | api-gateway       | ERROR | req-89a9-2847-23f3  | Connection refused from downstream            | latency=794ms
2026-03-16T15:56:22.248006Z | api-gateway       | INFO  | req-968b-24a2-267c  | Routing request to downstream                 | latency=91ms
2026-03-16T15:56:22.448005Z | api-gateway       | INFO  | req-513e-42e5-0d4c  | Routing request to downstream                 | latency=20ms
2026-03-16T15:56:22.648038Z | api-gateway       | INFO  | req-f2ae-a777-012d  | Routing request to downstream                 | latency=107ms
2026-03-16T15:56:22.84804Z | api-gateway       | INFO  | req-0b43-5634-783a  | Routing request to downstream                 | latency=92ms
2026-03-16T15:56:23.048047Z | api-gateway       | INFO  | req-5f01-7534-61b2  | Routing request to downstream                 | latency=54ms
2026-03-16T15:56:23.248005Z | api-gateway       | INFO  | req-2f91-3196-a718  | Request forwarded successfully                | latency=60ms
2026-03-16T15:56:23.447678Z | api-gateway       | INFO  | req-1fec-d836-fbff  | Request forwarded successfully                | latency=52ms
2026-03-16T15:56:23.64746Z | api-gateway       | INFO  | req-75cf-b17d-fa30  | Request forwarded successfully                | latency=38ms
2026-03-16T15:56:23.848027Z | api-gateway       | INFO  | req-fff7-de76-4484  | Request forwarded successfully                | latency=89ms
2026-03-16T15:56:24.048254Z | api-gateway       | WARN  | req-5b49-68c6-01d8  | High request rate detected                    | latency=266ms
2026-03-16T15:56:24.247971Z | api-gateway       | WARN  | req-c53e-a28c-9026  | High request rate detected                    | latency=319ms
2026-03-16T15:56:24.448Z | api-gateway       | ERROR | req-6edb-03b5-d416  | Connection refused from downstream            | latency=1595ms
2026-03-16T15:56:24.647976Z | api-gateway       | INFO  | req-dd10-84e6-fb0c  | Routing request to downstream                 | latency=76ms
2026-03-16T15:56:24.847988Z | api-gateway       | INFO  | req-8576-b940-f9ee  | Received incoming request                     | latency=71ms
2026-03-16T15:56:25.047966Z | api-gateway       | ERROR | req-c1fe-7e6d-625d  | Gateway timeout                               | latency=5000ms
2026-03-16T15:56:25.247969Z | api-gateway       | INFO  | req-0540-a8e0-fc70  | Routing request to downstream                 | latency=12ms
2026-03-16T15:56:25.447962Z | api-gateway       | INFO  | req-4a18-b85a-e10e  | Received incoming request                     | latency=66ms
2026-03-16T15:56:25.647913Z | api-gateway       | INFO  | req-5c01-184a-b855  | Request forwarded successfully                | latency=83ms
2026-03-16T15:56:25.847931Z | api-gateway       | INFO  | req-831a-6a13-879f  | Request forwarded successfully                | latency=47ms
2026-03-16T15:56:26.047486Z | api-gateway       | INFO  | req-1fe3-984e-289d  | Request forwarded successfully                | latency=16ms
2026-03-16T15:56:26.247024Z | api-gateway       | ERROR | req-10c7-55fc-b604  | Gateway timeout                               | latency=1452ms
2026-03-16T15:56:26.44793Z | api-gateway       | INFO  | req-ab6e-ab86-ddd2  | Request forwarded successfully                | latency=23ms
2026-03-16T15:56:26.647895Z | api-gateway       | INFO  | req-f84d-35c5-6f66  | Received incoming request                     | latency=50ms
2026-03-16T15:56:26.847434Z | api-gateway       | INFO  | req-ce65-5b6a-f0e1  | Received incoming request                     | latency=26ms
2026-03-16T15:56:27.047969Z | api-gateway       | INFO  | req-8cf6-eb4d-e823  | Received incoming request                     | latency=38ms
2026-03-16T15:56:27.247964Z | api-gateway       | ERROR | req-db7d-6b13-1194  | Connection refused from downstream            | latency=719ms
2026-03-16T15:56:27.447935Z | api-gateway       | INFO  | req-1d43-a262-2445  | Request forwarded successfully                | latency=50ms
2026-03-16T15:56:27.647504Z | api-gateway       | INFO  | req-992c-f2f4-6561  | Routing request to downstream                 | latency=16ms
2026-03-16T15:56:27.847056Z | api-gateway       | WARN  | req-515c-4da0-6d1e  | High request rate detected                    | latency=205ms
2026-03-16T15:56:28.047927Z | api-gateway       | WARN  | req-38db-148e-94f5  | Slow upstream response                        | latency=425ms
2026-03-16T15:56:28.247905Z | api-gateway       | WARN  | req-1b54-1219-d598  | High request rate detected                    | latency=290ms
2026-03-16T15:56:28.447889Z | api-gateway       | ERROR | req-c74c-76ce-2bc4  | Gateway timeout                               | latency=1438ms
2026-03-16T15:56:28.64789Z | api-gateway       | WARN  | req-2bdd-20bb-8898  | Slow upstream response                        | latency=443ms
2026-03-16T15:56:28.847875Z | api-gateway       | WARN  | req-6cbe-cdc7-7c9b  | Slow upstream response                        | latency=170ms
2026-03-16T15:56:29.047879Z | api-gateway       | ERROR | req-df7f-0b3f-c63e  | Connection refused from downstream            | latency=978ms
2026-03-16T15:56:29.247887Z | api-gateway       | INFO  | req-7aaf-f895-17bd  | Request forwarded successfully                | latency=26ms
2026-03-16T15:56:29.447863Z | api-gateway       | INFO  | req-818e-3417-4037  | Routing request to downstream                 | latency=101ms
2026-03-16T15:56:29.647844Z | api-gateway       | ERROR | req-9468-ab3c-0482  | Gateway timeout                               | latency=438ms
2026-03-16T15:56:29.847603Z | api-gateway       | INFO  | req-7049-f8b5-0cfd  | Received incoming request                     | latency=90ms
2026-03-16T15:56:30.047835Z | api-gateway       | ERROR | req-ad07-74f9-3355  | Connection refused from downstream            | latency=1390ms
2026-03-16T15:56:30.247628Z | api-gateway       | INFO  | req-964a-bb2f-1aac  | Request forwarded successfully                | latency=105ms
2026-03-16T15:56:30.447865Z | api-gateway       | INFO  | req-6250-d041-1abf  | Routing request to downstream                 | latency=12ms
2026-03-16T15:56:30.647302Z | api-gateway       | INFO  | req-1a0f-0ab6-8954  | Request forwarded successfully                | latency=85ms
2026-03-16T15:56:30.847863Z | api-gateway       | ERROR | req-ef3c-2052-c3e5  | Connection refused from downstream            | latency=687ms
2026-03-16T15:56:31.04785Z | api-gateway       | INFO  | req-bed9-e4d7-48b3  | Routing request to downstream                 | latency=31ms
2026-03-16T15:56:31.249775Z | api-gateway       | INFO  | req-5213-ffa0-c9be  | Received incoming request                     | latency=62ms
2026-03-16T15:56:31.447809Z | api-gateway       | INFO  | req-19e3-f353-179e  | Request forwarded successfully                | latency=57ms
2026-03-16T15:56:31.647826Z | api-gateway       | INFO  | req-9058-f029-d0c7  | Routing request to downstream                 | latency=74ms
2026-03-16T15:56:31.84785Z | api-gateway       | ERROR | req-05e7-c683-530a  | Gateway timeout                               | latency=414ms
2026-03-16T15:56:32.047806Z | api-gateway       | INFO  | req-ead0-2c39-4e5d  | Routing request to downstream                 | latency=90ms
2026-03-16T15:56:32.247275Z | api-gateway       | INFO  | req-1887-f2a5-aad6  | Request forwarded successfully                | latency=43ms
2026-03-16T15:56:32.447904Z | api-gateway       | ERROR | req-8599-c50d-89fd  | Gateway timeout                               | latency=5000ms
2026-03-16T15:56:32.647836Z | api-gateway       | INFO  | req-7cd9-1517-8f5e  | Request forwarded successfully                | latency=30ms
