2026-03-16T15:56:02.871688Z | auth-service      | INFO  | req-d30e-8c51-8794  | Session created                               | latency=89ms
2026-03-16T15:56:13.666088Z | auth-service      | INFO  | req-857e-2cbf-e2fe  | Session created                               | latency=67ms
2026-03-16T15:56:13.866321Z | auth-service      | INFO  | req-285d-3d88-343e  | Token validated successfully                  | latency=94ms
2026-03-16T15:56:14.069248Z | auth-service      | INFO  | req-413a-4c26-8a01  | Token validated successfully                  | latency=84ms
2026-03-16T15:56:14.257134Z | auth-service      | INFO  | req-8466-b2a5-48c3  | Session created                               | latency=88ms
2026-03-16T15:56:14.455053Z | auth-service      | INFO  | req-62dd-78b9-ae9f  | Token validated successfully                  | latency=106ms
2026-03-16T15:56:14.657531Z | auth-service      | INFO  | req-54c4-2a7a-7f33  | User authenticated                            | latency=34ms
2026-03-16T15:56:14.867632Z | auth-service      | INFO  | req-5bf4-c443-6b4a  | Session created                               | latency=67ms
2026-03-16T15:56:15.065253Z | auth-service      | INFO  | req-ab24-bd92-980e  | User authenticated                            | latency=61ms
2026-03-16T15:56:15.269248Z | auth-service      | INFO  | req-2253-c528-22ae  | User authenticated                            | latency=101ms
2026-03-16T15:56:15.473548Z | auth-service      | WARN  | req-95e6-602e-e559  | Token expiring soon                           | latency=255ms
2026-03-16T15:56:15.666369Z | auth-service      | INFO  | req-d772-6ee8-1da1  | Session created                               | latency=98ms
2026-03-16T15:56:15.863247Z | auth-service      | INFO  | req-6ac5-0fc0-7f10  | User authenticated                            | latency=60ms
2026-03-16T15:56:16.059216Z | auth-service      | INFO  | req-87c4-5d0f-b42c  | Session created                               | latency=46ms
2026-03-16T15:56:16.253874Z | auth-service      | INFO  | req-61dd-382a-c02d  | Token validated successfully                  | latency=20ms
2026-03-16T15:56:16.458223Z | auth-service      | INFO  | req-ac6d-c156-daff  | Token validated successfully                  | latency=36ms
2026-03-16T15:56:16.673248Z | auth-service      | INFO  | req-bb63-1918-4bf2  | User authenticated                            | latency=17ms
2026-03-16T15:56:16.859408Z | auth-service      | INFO  | req-583d-dc2b-668f  | Session created                               | latency=109ms
2026-03-16T15:56:17.061228Z | auth-service      | WARN  | req-5397-f878-ace2  | Rate limit approaching for user               | latency=358ms
2026-03-16T15:56:17.262812Z | auth-service      | INFO  | req-2ec1-29ef-52df  | Token validated successfully                  | latency=52ms
2026-03-16T15:56:17.467806Z | auth-service      | INFO  | req-ccb3-6807-b3df  | Token validated successfully                  | latency=52ms
2026-03-16T15:56:17.670839Z | auth-service      | WARN  | req-bc9a-e10e-1243  | Token expiring soon                           | latency=349ms
2026-03-16T15:56:17.86137Z | auth-service      | ERROR | req-76f4-0bdb-e871  | Token expired: signature validation failed    | latency=455ms
2026-03-16T15:56:18.053928Z | auth-service      | WARN  | req-c6c2-6c87-fc06  | Rate limit approaching for user               | latency=284ms
2026-03-16T15:56:18.263246Z | auth-service      | INFO  | req-052a-84d5-acb1  | User authenticated                            | latency=47ms
2026-03-16T15:56:18.470345Z | auth-service      | INFO  | req-1f03-aecd-47e9  | Token validated successfully                  | latency=104ms
2026-03-16T15:56:18.659372Z | auth-service      | INFO  | req-7bca-5898-2894  | User authenticated                            | latency=19ms
2026-03-16T15:56:18.855011Z | auth-service      | INFO  | req-8681-3290-7243  | Token validated successfully                  | latency=13ms
2026-03-16T15:56:19.057085Z | auth-service      | INFO  | req-3cce-739b-97bc  | User authenticated                            | latency=30ms
2026-03-16T15:56:19.266293Z | auth-service      | INFO  | req-9d73-3c3b-60cd  | Token validated successfully                  | latency=56ms
2026-03-16T15:56:19.455561Z | auth-service      | INFO  | req-7280-60de-eb95  | Session created                               | latency=109ms
2026-03-16T15:56:19.668012Z | auth-service      | WARN  | req-49e6-937b-cc54  | Rate limit approaching for user               | latency=323ms
2026-03-16T15:56:19.862349Z | auth-service      | INFO  | req-e8cc-cc7b-6887  | Token validated successfully                  | latency=65ms
2026-03-16T15:56:20.068316Z | auth-service      | ERROR | req-5705-dded-b964  | Auth service unavailable                      | latency=105ms
2026-03-16T15:56:20.270717Z | auth-service      | ERROR | req-6622-9c50-e1df  | Token expired: signature validation failed    | latency=762ms
2026-03-16T15:56:20.466144Z | auth-service      | ERROR | req-324b-ba06-846c  | Auth service unavailable                      | latency=1210ms
2026-03-16T15:56:20.660704Z | auth-service      | INFO  | req-508f-6c08-4f70  | User authenticated                            | latency=73ms
2026-03-16T15:56:20.854967Z | auth-service      | ERROR | req-5867-f1f0-2ca8  | Auth service unavailable                      | latency=841ms
2026-03-16T15:56:21.054523Z | auth-service      | INFO  | req-1121-d006-387e  | Token validated successfully                  | latency=14ms
2026-03-16T15:56:21.262655Z | auth-service      | INFO  | req-23bc-46d4-9f62  | Session created                               | latency=22ms
2026-03-16T15:56:21.453346Z | auth-service      | ERROR | req-0348-35b0-b898  | Token expired: invalid JWT structure          | latency=948ms
2026-03-16T15:56:21.66616Z | auth-service      | INFO  | req-6ca0-9352-751d  | User authenticated                            | latency=52ms
2026-03-16T15:56:21.857843Z | auth-service      | INFO  | req-ce4b-0ab4-26c1  | Session created                               | latency=70ms
2026-03-16T15:56:22.059988Z | auth-service      | INFO  | req-89a9-2847-23f3  | Token validated successfully                  | latency=105ms
2026-03-16T15:56:22.266164Z | auth-service      | INFO  | req-968b-24a2-267c  | Token validated successfully                  | latency=41ms
2026-03-16T15:56:22.461116Z | auth-service      | ERROR | req-513e-42e5-0d4c  | Auth service unavailable                      | latency=1495ms
2026-03-16T15:56:22.66318Z | auth-service      | INFO  | req-f2ae-a777-012d  | User authenticated                            | latency=24ms
2026-03-16T15:56:22.867852Z | auth-service      | INFO  | req-0b43-5634-783a  | Session created                               | latency=53ms
2026-03-16T15:56:23.059345Z | auth-service      | WARN  | req-5f01-7534-61b2  | Rate limit approaching for user               | latency=366ms
2026-03-16T15:56:23.261753Z | auth-service      | INFO  | req-2f91-3196-a718  | Session created                               | latency=87ms
2026-03-16T15:56:23.46981Z | auth-service      | INFO  | req-1fec-d836-fbff  | Token validated successfully                  | latency=108ms
2026-03-16T15:56:23.662453Z | auth-service      | INFO  | req-75cf-b17d-fa30  | Token validated successfully                  | latency=90ms
2026-03-16T15:56:23.872193Z | auth-service      | INFO  | req-fff7-de76-4484  | User authenticated                            | latency=74ms
2026-03-16T15:56:24.070434Z | auth-service      | INFO  | req-5b49-68c6-01d8  | User authenticated                            | latency=24ms
2026-03-16T15:56:24.267118Z | auth-service      | WARN  | req-c53e-a28c-9026  | Token expiring soon                           | latency=302ms
2026-03-16T15:56:24.453792Z | auth-service      | INFO  | req-6edb-03b5-d416  | Token validated successfully                  | latency=105ms
2026-03-16T15:56:24.665915Z | auth-service      | INFO  | req-dd10-84e6-fb0c  | Token validated successfully                  | latency=36ms
2026-03-16T15:56:24.862177Z | auth-service      | ERROR | req-8576-b940-f9ee  | Authentication failed: invalid token          | latency=140ms
2026-03-16T15:56:25.069179Z | auth-service      | ERROR | req-c1fe-7e6d-625d  | Auth service unavailable                      | latency=47ms
2026-03-16T15:56:25.260105Z | auth-service      | ERROR | req-0540-a8e0-fc70  | Token expired: signature validation failed    | latency=1306ms
2026-03-16T15:56:25.461705Z | auth-service      | INFO  | req-4a18-b85a-e10e  | Token validated successfully                  | latency=47ms
2026-03-16T15:56:25.656988Z | auth-service      | INFO  | req-5c01-184a-b855  | Session created                               | latency=12ms
2026-03-16T15:56:25.854363Z | auth-service      | INFO  | req-831a-6a13-879f  | Session created                               | latency=27ms
2026-03-16T15:56:26.07137Z | auth-service      | INFO  | req-1fe3-984e-289d  | User authenticated                            | latency=48ms
2026-03-16T15:56:26.266082Z | auth-service      | ERROR | req-10c7-55fc-b604  | Auth service unavailable                      | latency=688ms
2026-03-16T15:56:26.468715Z | auth-service      | ERROR | req-ab6e-ab86-ddd2  | Auth service unavailable                      | latency=998ms
2026-03-16T15:56:26.668992Z | auth-service      | INFO  | req-f84d-35c5-6f66  | Token validated successfully                  | latency=80ms
2026-03-16T15:56:26.855468Z | auth-service      | WARN  | req-ce65-5b6a-f0e1  | Token expiring soon                           | latency=240ms
2026-03-16T15:56:27.062119Z | auth-service      | INFO  | req-8cf6-eb4d-e823  | Token validated successfully                  | latency=28ms
2026-03-16T15:56:27.27007Z | auth-service      | INFO  | req-db7d-6b13-1194  | Token validated successfully                  | latency=72ms
2026-03-16T15:56:27.473133Z | auth-service      | ERROR | req-1d43-a262-2445  | Token expired: signature validation failed    | latency=696ms
2026-03-16T15:56:27.666741Z | auth-service      | INFO  | req-992c-f2f4-6561  | User authenticated                            | latency=76ms
2026-03-16T15:56:27.853499Z | auth-service      | INFO  | req-515c-4da0-6d1e  | Token validated successfully                  | latency=27ms
2026-03-16T15:56:28.063112Z | auth-service      | INFO  | req-38db-148e-94f5  | Token validated successfully                  | latency=96ms
2026-03-16T15:56:28.264067Z | auth-service      | INFO  | req-1b54-1219-d598  | User authenticated                            | latency=75ms
2026-03-16T15:56:28.458119Z | auth-service      | INFO  | req-c74c-76ce-2bc4  | Token validated successfully                  | latency=61ms
2026-03-16T15:56:28.664069Z | auth-service      | WARN  | req-2bdd-20bb-8898  | Rate limit approaching for user               | latency=290ms
2026-03-16T15:56:28.86223Z | auth-service      | INFO  | req-6cbe-cdc7-7c9b  | User authenticated                            | latency=33ms
2026-03-16T15:56:29.056644Z | auth-service      | INFO  | req-df7f-0b3f-c63e  | User authenticated                            | latency=102ms
2026-03-16T15:56:29.267169Z | auth-service      | INFO  | req-7aaf-f895-17bd  | Session created                               | latency=74ms
2026-03-16T15:56:29.453663Z | auth-service      | INFO  | req-818e-3417-4037  | Session created                               | latency=105ms
2026-03-16T15:56:29.673063Z | auth-service      | INFO  | req-9468-ab3c-0482  | User authenticated                            | latency=68ms
2026-03-16T15:56:29.866194Z | auth-service      | INFO  | req-7049-f8b5-0cfd  | Token validated successfully                  | latency=77ms
2026-03-16T15:56:30.065002Z | auth-service      | INFO  | req-ad07-74f9-3355  | Session created                               | latency=74ms
2026-03-16T15:56:30.262567Z | auth-service      | ERROR | req-964a-bb2f-1aac  | Authentication failed: invalid token          | latency=201ms
2026-03-16T15:56:30.455931Z | auth-service      | ERROR | req-6250-d041-1abf  | Authentication failed: invalid token          | latency=677ms
2026-03-16T15:56:30.655521Z | auth-service      | INFO  | req-1a0f-0ab6-8954  | Token validated successfully                  | latency=22ms
2026-03-16T15:56:30.858959Z | auth-service      | INFO  | req-ef3c-2052-c3e5  | User authenticated                            | latency=17ms
2026-03-16T15:56:31.071067Z | auth-service      | INFO  | req-bed9-e4d7-48b3  | User authenticated                            | latency=23ms
2026-03-16T15:56:31.259492Z | auth-service      | WARN  | req-5213-ffa0-c9be  | Rate limit approaching for user               | latency=30ms
2026-03-16T15:56:31.455831Z | auth-service      | WARN  | req-19e3-f353-179e  | Rate limit approaching for user               | latency=140ms
2026-03-16T15:56:31.67006Z | auth-service      | INFO  | req-9058-f029-d0c7  | User authenticated                            | latency=36ms
2026-03-16T15:56:31.855904Z | auth-service      | INFO  | req-05e7-c683-530a  | Session created                               | latency=107ms
2026-03-16T15:56:32.065686Z | auth-service      | WARN  | req-ead0-2c39-4e5d  | Rate limit approaching for user               | latency=152ms
2026-03-16T15:56:32.267446Z | auth-service      | WARN  | req-1887-f2a5-aad6  | Rate limit approaching for user               | latency=368ms
2026-03-16T15:56:32.464649Z | auth-service      | ERROR | req-8599-c50d-89fd  | Auth service unavailable                      | latency=85ms
