2026-03-16T15:56:02.896844Z | order-service     | INFO  | req-d30e-8c51-8794  | Order created                                 | latency=62ms
2026-03-16T15:56:15.2883Z | order-service     | INFO  | req-2253-c528-22ae  | Order validated                               | latency=73ms
2026-03-16T15:56:15.493553Z | order-service     | INFO  | req-95e6-602e-e559  | Order validated                               | latency=59ms
2026-03-16T15:56:15.684076Z | order-service     | WARN  | req-d772-6ee8-1da1  | Order total exceeds threshold                 | latency=208ms
2026-03-16T15:56:15.878321Z | order-service     | INFO  | req-6ac5-0fc0-7f10  | Order persisted to database                   | latency=76ms
2026-03-16T15:56:16.071295Z | order-service     | INFO  | req-87c4-5d0f-b42c  | Order created                                 | latency=87ms
2026-03-16T15:56:16.270239Z | order-service     | INFO  | req-61dd-382a-c02d  | Order persisted to database                   | latency=38ms
2026-03-16T15:56:16.479303Z | order-service     | WARN  | req-ac6d-c156-daff  | Duplicate order detected                      | latency=455ms
2026-03-16T15:56:16.689321Z | order-service     | WARN  | req-bb63-1918-4bf2  | Order total exceeds threshold                 | latency=264ms
2026-03-16T15:56:16.880451Z | order-service     | WARN  | req-583d-dc2b-668f  | Order total exceeds threshold                 | latency=155ms
2026-03-16T15:56:17.085374Z | order-service     | INFO  | req-5397-f878-ace2  | Order persisted to database                   | latency=44ms
2026-03-16T15:56:17.269055Z | order-service     | INFO  | req-2ec1-29ef-52df  | Order validated                               | latency=83ms
2026-03-16T15:56:17.480017Z | order-service     | INFO  | req-ccb3-6807-b3df  | Order validated                               | latency=60ms
2026-03-16T15:56:17.688929Z | order-service     | ERROR | req-bc9a-e10e-1243  | Order validation error                        | latency=758ms
2026-03-16T15:56:17.87351Z | order-service     | WARN  | req-76f4-0bdb-e871  | Duplicate order detected                      | latency=352ms
2026-03-16T15:56:18.072021Z | order-service     | ERROR | req-c6c2-6c87-fc06  | Order validation error                        | latency=233ms
2026-03-16T15:56:18.283142Z | order-service     | INFO  | req-052a-84d5-acb1  | Order validated                               | latency=75ms
2026-03-16T15:56:18.478474Z | order-service     | ERROR | req-1f03-aecd-47e9  | Order creation failed: database timeout       | latency=962ms
2026-03-16T15:56:18.675692Z | order-service     | INFO  | req-7bca-5898-2894  | Order created                                 | latency=104ms
2026-03-16T15:56:18.868165Z | order-service     | INFO  | req-8681-3290-7243  | Order created                                 | latency=43ms
2026-03-16T15:56:19.079342Z | order-service     | INFO  | req-3cce-739b-97bc  | Order created                                 | latency=19ms
2026-03-16T15:56:19.274947Z | order-service     | WARN  | req-9d73-3c3b-60cd  | Order total exceeds threshold                 | latency=187ms
2026-03-16T15:56:19.463622Z | order-service     | INFO  | req-7280-60de-eb95  | Order persisted to database                   | latency=18ms
2026-03-16T15:56:19.684269Z | order-service     | WARN  | req-49e6-937b-cc54  | Order total exceeds threshold                 | latency=260ms
2026-03-16T15:56:20.087601Z | order-service     | ERROR | req-5705-dded-b964  | Order creation failed: database timeout       | latency=212ms
2026-03-16T15:56:20.293005Z | order-service     | INFO  | req-6622-9c50-e1df  | Order validated                               | latency=106ms
2026-03-16T15:56:20.475057Z | order-service     | INFO  | req-324b-ba06-846c  | Order created                                 | latency=29ms
2026-03-16T15:56:20.67555Z | order-service     | INFO  | req-508f-6c08-4f70  | Order persisted to database                   | latency=81ms
2026-03-16T15:56:20.863592Z | order-service     | INFO  | req-5867-f1f0-2ca8  | Order created                                 | latency=30ms
2026-03-16T15:56:21.068176Z | order-service     | ERROR | req-1121-d006-387e  | Order creation failed: database timeout       | latency=1239ms
2026-03-16T15:56:21.281798Z | order-service     | INFO  | req-23bc-46d4-9f62  | Order validated                               | latency=75ms
2026-03-16T15:56:21.469449Z | order-service     | INFO  | req-0348-35b0-b898  | Order created                                 | latency=82ms
2026-03-16T15:56:21.683596Z | order-service     | INFO  | req-6ca0-9352-751d  | Order validated                               | latency=105ms
2026-03-16T15:56:21.877932Z | order-service     | WARN  | req-ce4b-0ab4-26c1  | Order total exceeds threshold                 | latency=411ms
2026-03-16T15:56:22.071516Z | order-service     | INFO  | req-89a9-2847-23f3  | Order created                                 | latency=13ms
2026-03-16T15:56:22.290313Z | order-service     | INFO  | req-968b-24a2-267c  | Order validated                               | latency=99ms
2026-03-16T15:56:22.485255Z | order-service     | INFO  | req-513e-42e5-0d4c  | Order created                                 | latency=35ms
2026-03-16T15:56:22.671131Z | order-service     | ERROR | req-f2ae-a777-012d  | Order creation failed: database timeout       | latency=1435ms
2026-03-16T15:56:22.889093Z | order-service     | WARN  | req-0b43-5634-783a  | Order total exceeds threshold                 | latency=186ms
2026-03-16T15:56:23.067348Z | order-service     | INFO  | req-5f01-7534-61b2  | Order created                                 | latency=87ms
2026-03-16T15:56:23.276992Z | order-service     | INFO  | req-2f91-3196-a718  | Order validated                               | latency=78ms
2026-03-16T15:56:23.479945Z | order-service     | INFO  | req-1fec-d836-fbff  | Order validated                               | latency=52ms
2026-03-16T15:56:23.684668Z | order-service     | ERROR | req-75cf-b17d-fa30  | Order validation error                        | latency=815ms
2026-03-16T15:56:23.887996Z | order-service     | WARN  | req-fff7-de76-4484  | Duplicate order detected                      | latency=353ms
2026-03-16T15:56:24.084592Z | order-service     | INFO  | req-5b49-68c6-01d8  | Order created                                 | latency=42ms
2026-03-16T15:56:24.287258Z | order-service     | ERROR | req-c53e-a28c-9026  | Order validation error                        | latency=137ms
2026-03-16T15:56:24.47301Z | order-service     | INFO  | req-6edb-03b5-d416  | Order validated                               | latency=55ms
2026-03-16T15:56:24.683174Z | order-service     | INFO  | req-dd10-84e6-fb0c  | Order validated                               | latency=51ms
2026-03-16T15:56:24.884331Z | order-service     | WARN  | req-8576-b940-f9ee  | Order total exceeds threshold                 | latency=132ms
2026-03-16T15:56:25.082754Z | order-service     | ERROR | req-c1fe-7e6d-625d  | Order creation failed: database timeout       | latency=416ms
2026-03-16T15:56:25.278906Z | order-service     | INFO  | req-0540-a8e0-fc70  | Order validated                               | latency=16ms
2026-03-16T15:56:25.483695Z | order-service     | WARN  | req-4a18-b85a-e10e  | Duplicate order detected                      | latency=381ms
2026-03-16T15:56:25.672018Z | order-service     | INFO  | req-5c01-184a-b855  | Order persisted to database                   | latency=69ms
2026-03-16T15:56:25.873476Z | order-service     | INFO  | req-831a-6a13-879f  | Order created                                 | latency=31ms
2026-03-16T15:56:26.08254Z | order-service     | INFO  | req-1fe3-984e-289d  | Order validated                               | latency=35ms
2026-03-16T15:56:26.27298Z | order-service     | INFO  | req-10c7-55fc-b604  | Order created                                 | latency=49ms
2026-03-16T15:56:26.475023Z | order-service     | ERROR | req-ab6e-ab86-ddd2  | Order creation failed: database timeout       | latency=1006ms
2026-03-16T15:56:26.685861Z | order-service     | INFO  | req-f84d-35c5-6f66  | Order validated                               | latency=66ms
2026-03-16T15:56:26.871591Z | order-service     | INFO  | req-ce65-5b6a-f0e1  | Order created                                 | latency=109ms
2026-03-16T15:56:27.069407Z | order-service     | WARN  | req-8cf6-eb4d-e823  | Duplicate order detected                      | latency=278ms
2026-03-16T15:56:27.28632Z | order-service     | WARN  | req-db7d-6b13-1194  | Order total exceeds threshold                 | latency=370ms
2026-03-16T15:56:27.487368Z | order-service     | ERROR | req-1d43-a262-2445  | Order creation failed: database timeout       | latency=639ms
2026-03-16T15:56:27.691679Z | order-service     | INFO  | req-992c-f2f4-6561  | Order created                                 | latency=14ms
2026-03-16T15:56:27.859207Z | order-service     | INFO  | req-515c-4da0-6d1e  | Order created                                 | latency=67ms
2026-03-16T15:56:28.088353Z | order-service     | INFO  | req-38db-148e-94f5  | Order created                                 | latency=73ms
2026-03-16T15:56:28.278337Z | order-service     | INFO  | req-1b54-1219-d598  | Order created                                 | latency=38ms
2026-03-16T15:56:28.474403Z | order-service     | INFO  | req-c74c-76ce-2bc4  | Order validated                               | latency=50ms
2026-03-16T15:56:28.68354Z | order-service     | INFO  | req-2bdd-20bb-8898  | Order persisted to database                   | latency=47ms
2026-03-16T15:56:28.879919Z | order-service     | INFO  | req-6cbe-cdc7-7c9b  | Order validated                               | latency=30ms
2026-03-16T15:56:29.064662Z | order-service     | WARN  | req-df7f-0b3f-c63e  | Duplicate order detected                      | latency=369ms
2026-03-16T15:56:29.277436Z | order-service     | INFO  | req-7aaf-f895-17bd  | Order created                                 | latency=62ms
2026-03-16T15:56:29.475813Z | order-service     | WARN  | req-818e-3417-4037  | Duplicate order detected                      | latency=31ms
2026-03-16T15:56:29.692193Z | order-service     | INFO  | req-9468-ab3c-0482  | Order persisted to database                   | latency=26ms
2026-03-16T15:56:29.875409Z | order-service     | INFO  | req-7049-f8b5-0cfd  | Order created                                 | latency=57ms
2026-03-16T15:56:30.071965Z | order-service     | WARN  | req-ad07-74f9-3355  | Order total exceeds threshold                 | latency=201ms
2026-03-16T15:56:30.280058Z | order-service     | INFO  | req-964a-bb2f-1aac  | Order created                                 | latency=37ms
2026-03-16T15:56:30.479119Z | order-service     | INFO  | req-6250-d041-1abf  | Order created                                 | latency=51ms
2026-03-16T15:56:30.660868Z | order-service     | INFO  | req-1a0f-0ab6-8954  | Order persisted to database                   | latency=33ms
2026-03-16T15:56:30.865804Z | order-service     | INFO  | req-ef3c-2052-c3e5  | Order created                                 | latency=28ms
2026-03-16T15:56:31.076969Z | order-service     | INFO  | req-bed9-e4d7-48b3  | Order validated                               | latency=74ms
2026-03-16T15:56:31.272795Z | order-service     | WARN  | req-5213-ffa0-c9be  | Duplicate order detected                      | latency=104ms
2026-03-16T15:56:31.461529Z | order-service     | WARN  | req-19e3-f353-179e  | Order total exceeds threshold                 | latency=225ms
2026-03-16T15:56:31.686646Z | order-service     | INFO  | req-9058-f029-d0c7  | Order created                                 | latency=35ms
2026-03-16T15:56:31.878052Z | order-service     | WARN  | req-05e7-c683-530a  | Duplicate order detected                      | latency=259ms
2026-03-16T15:56:32.08348Z | order-service     | INFO  | req-ead0-2c39-4e5d  | Order created                                 | latency=27ms
2026-03-16T15:56:32.274424Z | order-service     | ERROR | req-1887-f2a5-aad6  | Order validation error                        | latency=363ms
2026-03-16T15:56:32.483831Z | order-service     | ERROR | req-8599-c50d-89fd  | Order creation failed: database timeout       | latency=32ms
